Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
United States of America,Lewisville,71,Moderate,2,Good,30,Good,6,Good,71,Moderate,36.103,-80.4166
Mexico,Linares,52,Moderate,1,Good,24,Good,0,Good,52,Moderate,24.8597,-99.5647
Mexico,Linares,52,Moderate,1,Good,24,Good,0,Good,52,Moderate,-35.85,-71.6
Mexico,Linares,52,Moderate,1,Good,24,Good,0,Good,52,Moderate,38.0833,-3.6333
Mexico,Linares,52,Moderate,1,Good,24,Good,0,Good,52,Moderate,1.35,-77.5333
United States of America,Longview,46,Good,1,Good,37,Good,4,Good,46,Good,32.5193,-94.7622
United States of America,Longview,46,Good,1,Good,37,Good,4,Good,46,Good,46.1461,-122.963
United States of America,Scottsdale,50,Good,1,Good,20,Good,15,Good,50,Good,33.6872,-111.8651
United States of America,Scottsdale,50,Good,1,Good,20,Good,15,Good,50,Good,-41.1667,147.5167
Colombia,Sevilla,71,Moderate,2,Good,2,Good,5,Good,71,Moderate,37.24,-5.99
Colombia,Sevilla,71,Moderate,2,Good,2,Good,5,Good,71,Moderate,4.2689,-75.9361
Colombia,Sevilla,71,Moderate,2,Good,2,Good,5,Good,71,Moderate,9.7,124.05
China,Shaoyang,159,Unhealthy,4,Good,159,Unhealthy,4,Good,108,Unhealthy for Sensitive Groups,27.2418,111.4725
China,Shaoyang,159,Unhealthy,4,Good,159,Unhealthy,4,Good,108,Unhealthy for Sensitive Groups,32.9387,119.8404
United States of America,Stratford,87,Moderate,4,Good,5,Good,39,Good,87,Moderate,51.5423,-0.0026
United States of America,Stratford,87,Moderate,4,Good,5,Good,39,Good,87,Moderate,-39.3333,174.2833
United States of America,Stratford,87,Moderate,4,Good,5,Good,39,Good,87,Moderate,41.207,-73.1305
United States of America,Stratford,87,Moderate,4,Good,5,Good,39,Good,87,Moderate,43.3708,-80.9819
United States of America,Stratford,87,Moderate,4,Good,5,Good,39,Good,87,Moderate,46.2167,-63.0893
Bolivia (Plurinational State of),Sucre,14,Good,0,Good,6,Good,0,Good,14,Good,-19.0475,-65.26
Bolivia (Plurinational State of),Sucre,14,Good,0,Good,6,Good,0,Good,14,Good,-1.26,-80.44
Bolivia (Plurinational State of),Sucre,14,Good,0,Good,6,Good,0,Good,14,Good,8.8139,-74.7253
Bolivia (Plurinational State of),Sucre,14,Good,0,Good,6,Good,0,Good,14,Good,5.923,-73.795
Bolivia (Plurinational State of),Sucre,14,Good,0,Good,6,Good,0,Good,14,Good,2.0333,-76.9167
Costa Rica,San Diego,56,Moderate,2,Good,5,Good,11,Good,56,Moderate,32.8313,-117.1222
Costa Rica,San Diego,56,Moderate,2,Good,5,Good,11,Good,56,Moderate,10.2558,-67.9539
Costa Rica,San Diego,56,Moderate,2,Good,5,Good,11,Good,56,Moderate,10.3375,-73.1825
Venezuela (Bolivarian Republic of),San Mateo,58,Moderate,1,Good,15,Good,7,Good,58,Moderate,14.6969,121.1219
Venezuela (Bolivarian Republic of),San Mateo,58,Moderate,1,Good,15,Good,7,Good,58,Moderate,37.5522,-122.3121
Venezuela (Bolivarian Republic of),San Mateo,58,Moderate,1,Good,15,Good,7,Good,58,Moderate,16.8833,121.5833
Venezuela (Bolivarian Republic of),San Mateo,58,Moderate,1,Good,15,Good,7,Good,58,Moderate,9.74,-64.5531
Brazil,Santa Luzia,20,Good,0,Good,16,Good,0,Good,20,Good,-19.77,-43.8506
Brazil,Santa Luzia,20,Good,0,Good,16,Good,0,Good,20,Good,-6.8719,-36.9189
Brazil,Santa Luzia,20,Good,0,Good,16,Good,0,Good,20,Good,-15.4289,-39.3339
United States of America,Beaumont,68,Moderate,2,Good,34,Good,6,Good,68,Moderate,30.0849,-94.1451
United States of America,Beaumont,68,Moderate,2,Good,34,Good,6,Good,68,Moderate,45.7517,3.0831
United States of America,Beaumont,68,Moderate,2,Good,34,Good,6,Good,68,Moderate,33.9076,-116.9766
United States of America,Beaumont,68,Moderate,2,Good,34,Good,6,Good,68,Moderate,53.3572,-113.4147
United States of America,Beaumont,68,Moderate,2,Good,34,Good,6,Good,68,Moderate,18.4833,-73.9667
Mauritius,Bel Air,60,Moderate,1,Good,27,Good,0,Good,60,Moderate,-20.2582,57.7545
Mauritius,Bel Air,60,Moderate,1,Good,27,Good,0,Good,60,Moderate,39.5348,-76.346
Mexico,Buenos Aires,43,Good,1,Good,28,Good,0,Good,43,Good,-34.5997,-58.3819
Mexico,Buenos Aires,43,Good,1,Good,28,Good,0,Good,43,Good,2.9167,-76.6667
Mexico,Buenos Aires,43,Good,1,Good,28,Good,0,Good,43,Good,9.1985,-83.2816
Mexico,Buenos Aires,43,Good,1,Good,28,Good,0,Good,43,Good,-7.7258,-35.3269
United States of America,Cary,55,Moderate,1,Good,30,Good,3,Good,55,Moderate,35.7819,-78.8195
United States of America,Cary,55,Moderate,1,Good,30,Good,3,Good,55,Moderate,42.2129,-88.2494
United States of America,Clifton,52,Moderate,1,Good,46,Good,2,Good,52,Moderate,40.863,-74.1575
United States of America,Clifton,52,Moderate,1,Good,46,Good,2,Good,52,Moderate,52.904,-1.177
United States of America,Clifton,52,Moderate,1,Good,46,Good,2,Good,52,Moderate,53.9721,-1.0979
United States of America,Clifton,52,Moderate,1,Good,46,Good,2,Good,52,Moderate,39.0764,-108.4605
United States of America,Oviedo,59,Moderate,1,Good,12,Good,15,Good,59,Moderate,43.36,-5.845
United States of America,Oviedo,59,Moderate,1,Good,12,Good,15,Good,59,Moderate,28.658,-81.1872
Italy,Paola,64,Moderate,1,Good,48,Good,1,Good,64,Moderate,35.8728,14.5075
Italy,Paola,64,Moderate,1,Good,48,Good,1,Good,64,Moderate,39.3667,16.0333
United States of America,Peru,63,Moderate,2,Good,19,Good,14,Good,63,Moderate,40.7593,-86.0756
United States of America,Peru,63,Moderate,2,Good,19,Good,14,Good,63,Moderate,41.3482,-89.1371
Italy,Palermo,61,Moderate,1,Good,51,Moderate,0,Good,61,Moderate,2.8917,-75.4375
Italy,Palermo,61,Moderate,1,Good,51,Moderate,0,Good,61,Moderate,38.1157,13.3613
United States of America,Redlands,96,Moderate,3,Good,23,Good,13,Good,96,Moderate,34.0512,-117.1712
United States of America,Redlands,96,Moderate,3,Good,23,Good,13,Good,96,Moderate,39.0886,-108.6582
China,Rongcheng,143,Unhealthy for Sensitive Groups,4,Good,4,Good,23,Good,143,Unhealthy for Sensitive Groups,26.2312,104.0966
China,Rongcheng,143,Unhealthy for Sensitive Groups,4,Good,4,Good,23,Good,143,Unhealthy for Sensitive Groups,29.8239,112.9019
China,Rongcheng,143,Unhealthy for Sensitive Groups,4,Good,4,Good,23,Good,143,Unhealthy for Sensitive Groups,39.05,115.8657
United States of America,Madison Heights,55,Moderate,1,Good,34,Good,1,Good,55,Moderate,42.5073,-83.1034
United States of America,Madison Heights,55,Moderate,1,Good,34,Good,1,Good,55,Moderate,37.4487,-79.1057
United States of America,Commerce,117,Unhealthy for Sensitive Groups,3,Good,17,Good,26,Good,117,Unhealthy for Sensitive Groups,33.9963,-118.1519
United States of America,Commerce,117,Unhealthy for Sensitive Groups,3,Good,17,Good,26,Good,117,Unhealthy for Sensitive Groups,33.2421,-95.8992
Philippines,Pili,72,Moderate,1,Good,20,Good,1,Good,72,Moderate,13.7177,123.7448
Philippines,Pili,72,Moderate,1,Good,20,Good,1,Good,72,Moderate,13.5561,123.2756
Panama,San Miguelito,61,Moderate,1,Good,28,Good,3,Good,61,Moderate,9.033,-79.5
Panama,San Miguelito,61,Moderate,1,Good,28,Good,3,Good,61,Moderate,11.4025,-84.9003
United States of America,Bainbridge,59,Moderate,2,Good,25,Good,4,Good,59,Moderate,30.9052,-84.5732
United States of America,Bainbridge,59,Moderate,2,Good,25,Good,4,Good,59,Moderate,41.3855,-81.3478
India,Bangaon,62,Moderate,1,Good,38,Good,1,Good,62,Moderate,23.0435,88.8318
India,Bangaon,62,Moderate,1,Good,38,Good,1,Good,62,Moderate,25.8673,86.5115
India,Bangaon,62,Moderate,1,Good,38,Good,1,Good,62,Moderate,26.3081,87.8833
Philippines,Bangar,30,Good,1,Good,30,Good,0,Good,19,Good,4.7086,115.0739
Philippines,Bangar,30,Good,1,Good,30,Good,0,Good,19,Good,16.9,120.4167
United States of America,Ashland,76,Moderate,2,Good,36,Good,7,Good,76,Moderate,37.6942,-122.1159
United States of America,Ashland,76,Moderate,2,Good,36,Good,7,Good,76,Moderate,38.4592,-82.6448
United States of America,Ashland,76,Moderate,2,Good,36,Good,7,Good,76,Moderate,42.1905,-122.6992
United States of America,Ashland,76,Moderate,2,Good,36,Good,7,Good,76,Moderate,40.8668,-82.3156
United States of America,Ashland,76,Moderate,2,Good,36,Good,7,Good,76,Moderate,42.2573,-71.4687
United States of America,Ashland,76,Moderate,2,Good,36,Good,7,Good,76,Moderate,39.8782,-75.0085
Philippines,Bacolod,38,Good,1,Good,19,Good,0,Good,38,Good,10.6765,122.9509
Philippines,Bacolod,38,Good,1,Good,19,Good,0,Good,38,Good,8.1892,124.0238
Netherlands,Soest,30,Good,1,Good,26,Good,5,Good,30,Good,51.5711,8.1092
Netherlands,Soest,30,Good,1,Good,26,Good,5,Good,30,Good,52.1833,5.3
Brazil,Soledade,17,Good,0,Good,11,Good,2,Good,17,Good,-28.8178,-52.51
Brazil,Soledade,17,Good,0,Good,11,Good,2,Good,17,Good,-7.0569,-36.3628
Japan,Tateyama,44,Good,1,Good,44,Good,1,Good,43,Good,34.9966,139.87
Japan,Tateyama,44,Good,1,Good,44,Good,1,Good,43,Good,36.6636,137.3137
Argentina,La Plata,43,Good,1,Good,12,Good,8,Good,43,Good,-34.9211,-57.9544
Argentina,La Plata,43,Good,1,Good,12,Good,8,Good,43,Good,2.39,-75.9075
Argentina,La Plata,43,Good,1,Good,12,Good,8,Good,43,Good,38.5352,-76.97
United States of America,Lancaster,41,Good,1,Good,41,Good,3,Good,32,Good,40.042,-76.3012
United States of America,Lancaster,41,Good,1,Good,41,Good,3,Good,32,Good,34.6935,-118.1753
United States of America,Lancaster,41,Good,1,Good,41,Good,3,Good,32,Good,54.0489,-2.8014
United States of America,Lancaster,41,Good,1,Good,41,Good,3,Good,32,Good,42.9099,-78.6378
United States of America,Lancaster,41,Good,1,Good,41,Good,3,Good,32,Good,32.5922,-96.7739
United States of America,Lancaster,41,Good,1,Good,41,Good,3,Good,32,Good,39.7248,-82.6049
Guyana,Linden,34,Good,1,Good,16,Good,0,Good,34,Good,6.0,-58.3
Guyana,Linden,34,Good,1,Good,16,Good,0,Good,34,Good,40.6251,-74.2383
United States of America,Live Oak,30,Good,1,Good,18,Good,2,Good,30,Good,36.986,-121.9804
United States of America,Live Oak,30,Good,1,Good,18,Good,2,Good,30,Good,29.5545,-98.3404
Italy,Loreto,57,Moderate,2,Good,36,Good,10,Good,57,Moderate,22.2667,-101.9833
Italy,Loreto,57,Moderate,2,Good,36,Good,10,Good,57,Moderate,26.0128,-111.3433
Italy,Loreto,57,Moderate,2,Good,36,Good,10,Good,57,Moderate,8.1856,125.8538
Italy,Loreto,57,Moderate,2,Good,36,Good,10,Good,57,Moderate,43.4389,13.6086
Italy,Loreto,57,Moderate,2,Good,36,Good,10,Good,57,Moderate,-7.0839,-45.1408
Italy,Loreto,57,Moderate,2,Good,36,Good,10,Good,57,Moderate,10.3586,125.5816
India,Delhi,500,Hazardous,1,Good,44,Good,2,Good,446,Hazardous,28.61,77.23
India,Delhi,500,Hazardous,1,Good,44,Good,2,Good,446,Hazardous,37.4306,-120.7759
Russian Federation,Dimitrovgrad,31,Good,0,Good,30,Good,0,Good,31,Good,54.1833,49.5833
Russian Federation,Dimitrovgrad,31,Good,0,Good,30,Good,0,Good,31,Good,43.0167,22.7833
Russian Federation,Dimitrovgrad,31,Good,0,Good,30,Good,0,Good,31,Good,42.05,25.6
United States of America,Douglas,77,Moderate,2,Good,14,Good,7,Good,77,Moderate,54.145,-4.482
United States of America,Douglas,77,Moderate,2,Good,14,Good,7,Good,77,Moderate,51.8764,-8.4358
United States of America,Douglas,77,Moderate,2,Good,14,Good,7,Good,77,Moderate,31.3602,-109.5394
United States of America,Douglas,77,Moderate,2,Good,14,Good,7,Good,77,Moderate,31.5065,-82.8544
United States of America,Douglas,77,Moderate,2,Good,14,Good,7,Good,77,Moderate,42.0524,-71.7515
United States of America,Durango,500,Hazardous,133,Unhealthy for Sensitive Groups,0,Good,53,Moderate,500,Hazardous,24.025,-104.6675
United States of America,Durango,500,Hazardous,133,Unhealthy for Sensitive Groups,0,Good,53,Moderate,500,Hazardous,43.1689,-2.63
United States of America,Durango,500,Hazardous,133,Unhealthy for Sensitive Groups,0,Good,53,Moderate,500,Hazardous,37.2659,-107.8781
United Kingdom of Great Britain and Northern Ireland,Durham,56,Moderate,0,Good,31,Good,1,Good,56,Moderate,35.9792,-78.9022
United Kingdom of Great Britain and Northern Ireland,Durham,56,Moderate,0,Good,31,Good,1,Good,56,Moderate,54.7761,-1.5733
United Kingdom of Great Britain and Northern Ireland,Durham,56,Moderate,0,Good,31,Good,1,Good,56,Moderate,43.1174,-70.9194
United States of America,Fairfield,42,Good,1,Good,28,Good,8,Good,42,Good,38.2583,-122.0335
United States of America,Fairfield,42,Good,1,Good,28,Good,8,Good,42,Good,41.1775,-73.2733
United States of America,Fairfield,42,Good,1,Good,28,Good,8,Good,42,Good,39.3301,-84.5409
United States of America,Fairfield,42,Good,1,Good,28,Good,8,Good,42,Good,33.4747,-86.9194
United States of America,Fairfield,42,Good,1,Good,28,Good,8,Good,42,Good,41.0064,-91.9667
Colombia,Florida,51,Moderate,1,Good,6,Good,3,Good,51,Moderate,-34.5167,-58.5
Colombia,Florida,51,Moderate,1,Good,6,Good,3,Good,51,Moderate,-34.1,-56.2167
Colombia,Florida,51,Moderate,1,Good,6,Good,3,Good,51,Moderate,21.5294,-78.2228
Colombia,Florida,51,Moderate,1,Good,6,Good,3,Good,51,Moderate,18.3643,-66.5611
Colombia,Florida,51,Moderate,1,Good,6,Good,3,Good,51,Moderate,3.3275,-76.2386
Colombia,Florida,51,Moderate,1,Good,6,Good,3,Good,51,Moderate,-36.8167,-72.6667
Russian Federation,Neya,52,Moderate,1,Good,29,Good,1,Good,52,Moderate,34.7667,135.6333
Russian Federation,Neya,52,Moderate,1,Good,29,Good,1,Good,52,Moderate,58.3,43.8667
China,Taizhou,206,Very Unhealthy,5,Good,206,Very Unhealthy,4,Good,150,Unhealthy,32.4831,119.9
China,Taizhou,206,Very Unhealthy,5,Good,206,Very Unhealthy,4,Good,150,Unhealthy,28.6583,121.4221
Philippines,Talisay,52,Moderate,1,Good,23,Good,0,Good,52,Moderate,10.25,123.8333
Philippines,Talisay,52,Moderate,1,Good,23,Good,0,Good,52,Moderate,10.7333,122.9667
Philippines,Talisay,52,Moderate,1,Good,23,Good,0,Good,52,Moderate,14.1,121.0167
Philippines,Talisay,52,Moderate,1,Good,23,Good,0,Good,52,Moderate,14.1356,122.9244
Cuba,Trinidad,49,Good,1,Good,23,Good,1,Good,49,Good,-14.8292,-64.9014
Cuba,Trinidad,49,Good,1,Good,23,Good,1,Good,49,Good,21.8042,-79.9831
Cuba,Trinidad,49,Good,1,Good,23,Good,1,Good,49,Good,10.0795,124.3432
Cuba,Trinidad,49,Good,1,Good,23,Good,1,Good,49,Good,-33.5333,-56.8833
Cuba,Trinidad,49,Good,1,Good,23,Good,1,Good,49,Good,5.4089,-71.6622
United States of America,Troy,50,Good,1,Good,38,Good,4,Good,50,Good,42.5817,-83.1457
United States of America,Troy,50,Good,1,Good,38,Good,4,Good,50,Good,42.7354,-73.6751
United States of America,Troy,50,Good,1,Good,38,Good,4,Good,50,Good,40.0437,-84.2186
United States of America,Troy,50,Good,1,Good,38,Good,4,Good,50,Good,31.8021,-85.9664
United States of America,Troy,50,Good,1,Good,38,Good,4,Good,50,Good,38.9708,-90.9714
United States of America,Troy,50,Good,1,Good,38,Good,4,Good,50,Good,38.7268,-89.8977
Mexico,Tuxpan,32,Good,1,Good,6,Good,4,Good,32,Good,19.5661,-100.4625
Mexico,Tuxpan,32,Good,1,Good,6,Good,4,Good,32,Good,21.8667,-105.45
United Kingdom of Great Britain and Northern Ireland,Winchester,34,Good,1,Good,15,Good,10,Good,34,Good,36.1365,-115.137
United Kingdom of Great Britain and Northern Ireland,Winchester,34,Good,1,Good,15,Good,10,Good,34,Good,39.1735,-78.1746
United Kingdom of Great Britain and Northern Ireland,Winchester,34,Good,1,Good,15,Good,10,Good,34,Good,51.0632,-1.308
United Kingdom of Great Britain and Northern Ireland,Winchester,34,Good,1,Good,15,Good,10,Good,34,Good,42.4518,-71.1463
United Kingdom of Great Britain and Northern Ireland,Winchester,34,Good,1,Good,15,Good,10,Good,34,Good,38.0018,-84.1908
United Kingdom of Great Britain and Northern Ireland,Winchester,34,Good,1,Good,15,Good,10,Good,34,Good,41.9218,-73.1028
United Kingdom of Great Britain and Northern Ireland,Winchester,34,Good,1,Good,15,Good,10,Good,34,Good,35.1898,-86.1075
Guatemala,Villa Nueva,79,Moderate,3,Good,8,Good,10,Good,79,Moderate,14.5314,-90.5964
Guatemala,Villa Nueva,79,Moderate,3,Good,8,Good,10,Good,79,Moderate,-32.4331,-63.2475
Guatemala,Villa Nueva,79,Moderate,3,Good,8,Good,10,Good,79,Moderate,-32.9,-68.7667
United States of America,Farmington,44,Good,1,Good,38,Good,3,Good,44,Good,36.7555,-108.1823
United States of America,Farmington,44,Good,1,Good,38,Good,3,Good,44,Good,41.7288,-72.8407
United States of America,Farmington,44,Good,1,Good,38,Good,3,Good,44,Good,40.9845,-111.9065
United States of America,Farmington,44,Good,1,Good,38,Good,3,Good,44,Good,44.6572,-93.1687
United States of America,Farmington,44,Good,1,Good,38,Good,3,Good,44,Good,37.7822,-90.4282
United States of America,Farmington,44,Good,1,Good,38,Good,3,Good,44,Good,42.9895,-77.3087
United States of America,Farmington,44,Good,1,Good,38,Good,3,Good,44,Good,42.4614,-83.3784
United Kingdom of Great Britain and Northern Ireland,Atherton,48,Good,0,Good,30,Good,1,Good,48,Good,53.523,-2.495
United Kingdom of Great Britain and Northern Ireland,Atherton,48,Good,0,Good,30,Good,1,Good,48,Good,-17.2658,145.478
India,Banga,324,Hazardous,2,Good,150,Unhealthy,1,Good,324,Hazardous,6.3,124.7833
India,Banga,324,Hazardous,2,Good,150,Unhealthy,1,Good,324,Hazardous,31.1887,75.9949
India,Banga,324,Hazardous,2,Good,150,Unhealthy,1,Good,324,Hazardous,-8.7333,15.1667
Netherlands,Bergen,39,Good,1,Good,28,Good,4,Good,39,Good,60.3894,5.33
Netherlands,Bergen,39,Good,1,Good,28,Good,4,Good,39,Good,52.6667,4.7167
Netherlands,Bergen,39,Good,1,Good,28,Good,4,Good,39,Good,54.4167,13.4333
Netherlands,Bergen,39,Good,1,Good,28,Good,4,Good,39,Good,52.8103,9.9611
Netherlands,Bergen,39,Good,1,Good,28,Good,4,Good,39,Good,51.6,6.05
India,Chodavaram,153,Unhealthy,1,Good,47,Good,0,Good,153,Unhealthy,17.8333,82.95
India,Chodavaram,153,Unhealthy,1,Good,47,Good,0,Good,153,Unhealthy,17.438,81.7781
Brazil,Bom Jesus,24,Good,0,Good,11,Good,0,Good,24,Good,-4.42,-46.765
Brazil,Bom Jesus,24,Good,0,Good,11,Good,0,Good,24,Good,-9.0739,-44.3589
Brazil,Bom Jesus,24,Good,0,Good,11,Good,0,Good,24,Good,-18.215,-49.7419
Brazil,Bom Jesus,24,Good,0,Good,11,Good,0,Good,24,Good,-28.6678,-50.4169
Brazil,Bom Jesus,24,Good,0,Good,11,Good,0,Good,24,Good,-5.9839,-35.5808
El Salvador,Aguilares,146,Unhealthy for Sensitive Groups,5,Good,0,Good,13,Good,146,Unhealthy for Sensitive Groups,-27.4333,-65.6167
El Salvador,Aguilares,146,Unhealthy for Sensitive Groups,5,Good,0,Good,13,Good,146,Unhealthy for Sensitive Groups,13.95,-89.1833
China,Altay,53,Moderate,0,Good,37,Good,0,Good,53,Moderate,47.8666,88.1166
China,Altay,53,Moderate,0,Good,37,Good,0,Good,53,Moderate,46.3728,96.2572
United States of America,Altoona,40,Good,1,Good,38,Good,3,Good,40,Good,40.5082,-78.4007
United States of America,Altoona,40,Good,1,Good,38,Good,3,Good,40,Good,41.6483,-93.4783
Colombia,Socorro,56,Moderate,2,Good,3,Good,4,Good,56,Moderate,13.0583,121.4117
Colombia,Socorro,56,Moderate,2,Good,3,Good,4,Good,56,Moderate,-22.5908,-46.5289
Colombia,Socorro,56,Moderate,2,Good,3,Good,4,Good,56,Moderate,31.6383,-106.2601
Colombia,Socorro,56,Moderate,2,Good,3,Good,4,Good,56,Moderate,6.5333,-73.2
Colombia,Socorro,56,Moderate,2,Good,3,Good,4,Good,56,Moderate,9.6181,125.9661
Colombia,Socorro,56,Moderate,2,Good,3,Good,4,Good,56,Moderate,34.0543,-106.9065
Azerbaijan,Salyan,65,Moderate,1,Good,40,Good,0,Good,65,Moderate,39.595,48.9792
Azerbaijan,Salyan,65,Moderate,1,Good,40,Good,0,Good,65,Moderate,28.35,82.1833
United States of America,Sanger,56,Moderate,2,Good,10,Good,15,Good,56,Moderate,36.699,-119.5575
United States of America,Sanger,56,Moderate,2,Good,10,Good,15,Good,56,Moderate,33.3715,-97.1678
